company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
Digitera Technologies Private Limited,"RoleBack End Developer,",Not Disclosed,2 - 7 years,Bengaluru,"Job descriptionDigitera Technologies is leading digital technology company based in Bangalore,  India with vast experience in developing solutions for the enterprises using latest digital technologies. Digitera is a progressive digital technology company specializing in Web Design/ Development,  Digital Marketing,  Mobile,  Analytics and Cloud technologies. We operate along with our network partners in India,  Singapore and US to deliver the most challenging and state of the art technology projects around the world. Digitera prides itself in our ability to partner with clients to deeply understand their industry dynamics and business challenges,  in order to find solutions. Internally,  we understand that our success is driven by our great team and work environment. Were looking for people who want to do great things; the learning curve is steep,  and the exposure is energizing. If you have a passion for delivering innovative technology solutions and want to work for a great company,  get in touch.  Job Description Sr. Web Developer  We are looking for a young and dynamic Web developer who is motivated to combine the art of design with the art of programming. Responsibilities include translation of the UI/ UX design wireframes to actual code that will produce visual elements of the application. You will work with the Front- End Web Designer and bridge the gap between graphical design and technical implementation,  taking an active role on both sides and defining how the application looks as well as how it works. Build reusable code and libraries for future use Ensure the technical feasibility of UI/ UX designs Optimize application for maximum speed and scalability Assure that all user input is validated before submitting to back- end Collaborate with other team members and stakeholders  Skills And Qualifications  Willingness to work in a high- pressure start- up including stints at a client location in Bangalore Good communication skills in English with client facing skills Should be able to effectively articulate a problem or requirement in simple English Minimum of 2 years experience in building fast,  robust,  and maintainable production web applications using the Mean STACK (MongoDB,  Express,  AngularJS,  and Node.js) At least 3- 5 years of experience in Javascript,  PHP,  MySQLi,  CSS3 and HTML5  Ability to train junior web developers in the team Photoshop,  knowledge of.RoleBack End Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsC++codeuxtechnicalhtml5CMSdevelopingitAnalyticsDesign EngineercloudWeb technologiesLinuxapplicationwebdesignJavascriptPHPWeb designingdeveloperPhotoshopcss3applications","['C++', 'code', 'ux', 'technical', 'html5', 'CMS', 'developing', 'it', 'Analytics', 'Design Engineer', 'cloud', 'Web technologies', 'Linux', 'application', 'web', 'design', 'Javascript', 'PHP', 'Web designing', 'developer', 'Photoshop', 'css3', 'applications']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Zscaler enables the worlds leading organizations to securely transform their networks and applications for a mobile and cloud first world. Its flagship services, Zscaler Internet Access and Zscaler Private Access, create fast, secure connections between users and applications, regardless of device, location, or network. Zscaler services are 100% cloud-delivered and offer the simplicity, enhanced security, and improved user experience that traditional appliances or hybrid solutions are unable to match. Used in more than 185 countries, Zscaler operates the worlds largest cloud security platform, protecting thousands of enterprises and government agencies from cyberattacks and data loss.","RoleFull Stack Developer,",Not Disclosed,2 - 5 years,Bangalore/Bengaluru,"Job description  This role will significantly impact both Marketing ops and the broader company. This position will directly interact with Demand Gen, Field Marketing, and Marketing operation peers. The primary responsibilities of this role will include:    To configure, test and launch solutions within AWS, GCP     Comfortable working with the command line within a LAMP stack environment (Linux, Apache, MySQL/MariaDB, and PHP)     EC2, Lambada, S3, DNS configuration, setup and maintenance.     Planning and administration of XMMP server infrastructure, setup, scaling, updating.     Monitoring, issues debug and analysis, fixing.     Develop integrations between core business systems using both code and no-/low-code platforms, and support those integrations once deployed     Maintain security, backup, and redundancy strategies     Plan and implement systems automation as required for better efficiency and to lower the need for human intervention     Monitor and test application performance to detect potential bottlenecks, identify possible solutions and work with internal security team to implement these fixes.     Maintain security, backup and redundancy strategies.     Participate in the design of information and operational support systems.      Qualifications     Strong background in HTML, MySQL, JavaScript, query, CSS, Bootstrap, REST APIs, and Git     Proficiency in delivering high-quality PHP code making use of test-driven methodologies and modern frameworks     Experience in integrating with REST APIs and handle dynamic data on frontend     Creating and maintaining technical documentation     Good knowledge of application & data security.     Good knowledge of versioning with Git and continuous integration tools & processes.     Good knowledge of system / application performance monitoring.     Familiar with Bash scripting      RoleFull Stack Developer,Industry TypeHardware & Networking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsAutomationGITLinuxMySQLWeb developmentJavascriptPHPHTMLApacheTechnical documentation","['Automation', 'GIT', 'Linux', 'MySQL', 'Web development', 'Javascript', 'PHP', 'HTML', 'Apache', 'Technical documentation']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeHardware & Networking,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Infoblox delivers Actionable Network Intelligence to enterprise, government, and service provider customers around the world. We are the industry leader in DNS, DHCP, and IP address management, the category known as DDI. We empower thousands of organizations to control and secure their networks from the coreenabling them to increase efficiency and visibility, improve customer service, and meet compliance requirements.With Infoblox, organizations can protect against the rising flood of malware and cyberattacks that target networks; overcome complexity by creating a single point of control across traditional data centers as well as public and private cloud deployments; establish a single point of enforcement for security and compliance policies; and deliver actionable insights for making networks more reliable, efficient, and effective.","RoleFront End Developer,",Not Disclosed,8 - 12 years,Bangalore/Bengaluru,"Job description     Construct site layout/user interface from provided design concepts using PHP, HTML5, and CSS3 best practices      Conduct routine daily maintenance of existing site and applications      Maintain and augment website integration with marketing automation tools and other third-party marketing automation applications       Design and manage the website back-end, including database and server integration        Code, build, and troubleshoot solutions compatible with the Marketo and CRM environments, including process optimization, database architectures, and custom integrations        Interact with RESTful APIs and formats (JSON, XML) and build custom WP API endpoints       Provide critical direction on new development projects concerning data integration with XML database and SQL database systems      Develop workflow applications for passing content between the file system, NoSQL databases, and SQL Server using features such as XQuery or REST pipelines      What you ll bring:      8+ years of technical experience working with web applications, web development, and enterprise applications using PHP, JavaScript, jQuery, CSS3, XHTML and HTML5, and MySQL      Strong understanding of semantic markup      3 to 4+ years experience with a marketing automation system, preferably Marketo      Deep understanding and utilization of RESTful APIs, JSON, XML       Proficient understanding of code versioning with Git        Good understanding of website architecture and aesthetics       Experience in headless CMS web development      Experience with Adobe Suite experience (Illustrator, InDesign, Photoshop, Dreamweaver, and/or XD)      Solid background in software-as-a-service (SaaS)      Expertise with Google Analytics and Tag Manager tools      Familiarity with code debugging, testing, and optimization tools like Chrome and Firefox developer tools, Firebug, JSLint, W3C validation, etc.      Ability to build out a design from a .psd with ""pixel perfect"" precision using standards-compliant HTML and CSS      Experience with cross-browser compatibility testing and an understanding of modernizr and polyfills      Experience using Teamwork, Asana, Monday, Trello, or other project management software      Experience with mockup and UI prototyping tools      Advanced knowledge of WordPress site application level and server-side optimization      Minimum 5 years of experience with the System Development Life Cycle      Excellent verbal, written, and organizational skills, as well as the ability to meet deadlines      Experience with KHOROS CMS or related CMS is a plus      Bachelor s degree in computer science or related    RoleFront End Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsjQueryXMLProject managementMySQLEquityJavascriptPHPHTMLSQLCRM","['jQuery', 'XML', 'Project management', 'MySQL', 'Equity', 'Javascript', 'PHP', 'HTML', 'SQL', 'CRM']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"ZaranTech(www.zarantech.com) is a Global IT training and consulting services company with one goal in mind - develop and deliver the highest quality consultants for our clients and customers. As a consulting company, we help organizations to work smarter and grow faster. We consult with our clients to build effective organizations, innovate & grow, reduce costs, manage risk & regulation and leverage talent","RoleBack End Developer,",Not Disclosed,10 - 12 years,Bengaluru,"Job description Sr. Website DeveloperBanglore, KA, IndiaAbout Company:ZaranTech is a US based Global IT Training and Consulting Company, which provides focused Individual and Corporate trainings from our Sr. trainers who have 10+ years of experience in the fast paced world of Information Technology. ZaranTech provides Role based training as compared to Product based training methodology.    Most of our training programs are delivered Online and we provide Instructor Led and Self Paced types of training.Job Profile:As a Sr. Web Developer, you will be responsible to maintain our main website and make sure everything's running smoothly and fast. You will also work with SEO, SCM and Marketing team to get things done for the website as we are a 24x7 running company.Job Description1. Must be able to Design, Code and modify website from layout to function according to the given specifications.   2. Must be familiar with the latest JavaScript Library and framework.   3. Must be familiar with writing code which will fulfill the SEO techniques.   4. Develop new user - facing features.5. Must be able to create visually appealing sites that feature user - friendly design and clear navigation.   6. Build reusable code and libraries for future use.Requirements:1. Experience of 3 - 5 yrs in HTML5, CSS3, JavaScript, Jquery, PHP, MySQL, Wordpress, Codeigniter.   2. Have worked on LMS Integration like Moodle/LAMS/aTutor/ILIAS/ any open source web - based learning management system (LMS).3.Strong working knowledge of CMS like Joomla and Wordpress with Understanding, analyzing & modifying existing open source/plugin code & extensions jQuery, XML, Javascript, HTML5, CSS3.3. Must have excellent coding skills and worked or knowledge of the various industry.4. Must have expertise in JavaScript Library and Bootstrap.   5. Must have prior experience in Core PHP and can handle independently a project.   6. Additional benefits if you have worked for any Elearning Industry or project.   7.Strong working knowledge & experience of payment integration with APIs provided by PayPal, Merchant Bank Accounts along with advanced SSL implementation.Location: Domlur, BangaloreWork hours: Morning Shift India (9:00am - 6:00pmCTC: As per marketBenefits that you get:   1. Salary directly deposited to Bank account   2. You earn 1.5 days of vacation every month3. Travel Allowance depended on your profile   4. OverTime 1.5 times paid upon Approval   5. Comp off benefits6. Attractive Incentives and Commissions7. PF benefits with 100% Employer matching   8. Holidays followed as per USA calendar   9. Transportation  - Pick  - up and Drop - off facility at no cost for Approved employees   10. Great Referral bonus program   11. Learn many new technologies and enhance your skills   12. All training Courses offered to Employees for Free   13. Great opportunity for growth within the company within other departments for exemplary employees   14. Feel Good at work  -  Great fun work environment with lot of employee engagement activities RoleBack End Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsjQueryCodingXMLProject managementMySQLJavascriptSEOSCMOpen sourceJoomla","['jQuery', 'Coding', 'XML', 'Project management', 'MySQL', 'Javascript', 'SEO', 'SCM', 'Open source', 'Joomla']","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"TALENT ZONE Consultants is a unique and flourishing Human Resource Consultancy in Bangalore, Karnataka. This company is known for offering best recruitment solutions possible, to both IT and Non-IT industries in all over the world. We host a wide spectrum of Placement Services namely HR Services, Campus Placement, Outsourcing Services, and Manpower Recruitment Services. TALENT ZONE Consultants has gained a considerable network of contacts and a database of quality Candidates, which is generated through networking, referrals and advertising across a wide range of media. Our primary goal is to assist our clients with building the strongest management teams possible. To that end, we endeavor to thoroughly understand our clients? staffing objectives and profile the skills and background required for a job. We effectively understand our client??¢??s manpower requirements and have been successfully delivering to their ongoing demands that are best suited to our clients? needs.","RoleFull Stack Developer,",Not Disclosed,3 - 6 years,Bangalore/Bengaluru,"Job description Responsibilities:    Identify user and system requirements for new websites and applications   Prioritize software development projects, set timelines and assign tasks to team members   Create wireframes to decide on layout   Write or review code for various applications   Run functionality testings and debug code   Oversee junior web developers and evaluate their performance   Liaise with designers to decide on UI/UX elements (like graphics and navigation buttons)   Ensure our software documentation is up-to-date   Collaborate with mobile developers to build mobile-responsive websites    Requirements and skills:    Work experience as a Web Developer   Expertise in at programming language, preferably Javascript, PHP etc   Solid knowledge of HTML/CSS   Experience with mock up and UI prototyping tools   Understanding of security practices   Familiarity with network diagnostics tools   Team management skills   Excellent Communication Skills  RoleFull Stack Developer,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Production/Industrial, BCA in Computers, B.Sc in ChemistryPG :MCA in Computers, MS/M.Sc(Science) in ChemistryKey SkillsGraphicsProject developmentTeam managementDiagnosticsJavascriptCMSProgrammingPHPHTMLbootstrap","['Graphics', 'Project development', 'Team management', 'Diagnostics', 'Javascript', 'CMS', 'Programming', 'PHP', 'HTML', 'bootstrap']","['UG :B.Tech/B.E. in Production/Industrial, BCA in Computers, B.Sc in Chemistry', 'PG :MCA in Computers, MS/M.Sc(Science) in Chemistry']","Industry TypeRecruitment / Staffing,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"Dialpad is a cloud-based business phone system that turns conversations into opportunities and helps global teams make smarter calls--anywhere, anytime. We bring simplicity to the professional phone experience and some of the worlds most innovative companies use our platform. Dialpads products span video meetings, cloud call centers, sales coaching and dialers and enterprise phone systems--and are all infused with the latest AI technologies to help every business make smarter calls. Customers include WeWork, Uber, Motorola Solutions, Domo and Xero. Investors include Amasia, Andreessen Horowitz, Felicis Ventures, GV, ICONIQ Capital, Salesforce Ventures, Scale Venture Partners, Section 32, Softbank and Work-Bench.","RoleBack End Developer,",Not Disclosed,4 - 9 years,Bangalore/Bengaluru,"Job description   What you will achieve      You re an experienced Web Developer who will help us design and develop the next generation of features for the Dialpad website.      You have an excellent analytical and technical aptitude with proven ability to solve complex problems.      You have specialized or advanced expertise and are up on the latest web trends and technologies. Additionally, you ve worked on large projects with multiple cross-functional teams where you regularly contribute ideas to meet business objectives.      You will play a critical part in defining and building our website while working closely with a team of designers, product managers, and other engineers.       Necessary skills to be successful in this role include:      5+ years professional web development experience.       Expert use of Front End UI using JavaScript, JQuery, HTML5, CSS.        Experience with server-side development and templating using TWIG, PHP, Python or similar language.        Strong grasp and experience with responsive web design and Bootstrap.        Experience with cross-browser and cross-platform (Desktop, Mobile, etc.) development and testing.        Experience optimizing front-end code for peak performance using speed and optimization testing tools (Pagespeed Insights, Lighthouse, Webpagetest, etc).        Solid familiarity with modern front-end build pipelines and tools.        Ability to understand business requirements and translate them into technical requirements.       Previous experience with Version control with Git.       Solid english communicational skills.      What you will achieve     In your first 30 days:       As Dialpad s newest web developer you ll have made a direct impact on our web presence with your first set of updates, changes and enhancements       This all starts with your onboarding, learning the tools we use, setting up your environment and getting familiar with the code base       You will also spend time becoming familiar with our UberConference website, help centers, landing pages, international sites and personalizations        You ll create new landing pages for campaigns, A/B testing these pages and optimizing for improved conversion rates      In your first 60 days:        You ll have started the process of working with other stakeholders in the organization, including our design team, content creators and product managers       Regularly taking on tasks ranging from front end visual enhancements to building our new pages and sections of the website        You will review other team members work; visually reviewing pages to make sure they align with the design to pixel perfection; performing browser compatibility tests and doing code reviews        You will play a part in maintaining our web properties including performing regular maintenance, applying updates and fixes       You will deliver exceptional customer service by resolving urgent requests and responding to requests for help      By 90 days:       You ll have become fully immersed in the different Dialpad web properties and are able to address questions, make fixes or tackle new projects as they arise       At this point you will have had an opportunity to take ownership of projects, bring prototypes, content and designs to life with well crafted and well tested web pages        Estimate timelines, develop plans and make recommendations on new projects        You will be experienced with and regularly involved in deploying website updates       You will start developing a firm understanding of building well optimized web pages, working closely with our SEO team to insure well structured pages, optimizing images, adding analytics tracking, focusing on quick load times and website usability    RoleBack End Developer,Industry TypeElectronic Components / Semiconductors,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsjQueryTesting toolsWeb developmentBillingEquityJavascriptPHPWeb designingSEOPython","['jQuery', 'Testing tools', 'Web development', 'Billing', 'Equity', 'Javascript', 'PHP', 'Web designing', 'SEO', 'Python']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeElectronic Components / Semiconductors,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
MPOWER Financing,"RoleBack End Developer,",Not Disclosed,5 - 8 years,Bangalore/Bengaluru,"Job description   THE ROLE      You will be responsible for both front-end and back-end development, maintenance of plugins, as well as site integration and security updates of MPOWER s web assets.     You will design and develop fast performing, user friendly and functional websites to serve our customers and drive business outcomes.    You should have in-depth knowledge of Wordpress and PHP programming languages, a good eye for aesthetics, and strong content management skills.       Your responsibilities will include, but not limited to       Conducting high-level analysis, design and development of fast performing websites     Developing and executing test plans for requirements such as performance, browser compatibility, security, portability and scalability of the websites     Evaluating new web application development technologies and determining the feasibility of incorporating them in our environment     Assisting with researching new and emerging technologies       THE QUALIFICATIONS      Bachelor s degree in computer science, information technology, or a similar field     3 years of working experience in Wordpress and/or Core PHP, HTML, CSS & JavaScript     Experience with user interface design     Good knowledge of SQL and related databases, preferably MySQL and/or PostgreSQL     Experience with Google Analytics, and GTM     Experience with browser-based debugging and performance testing     Excellent troubleshooting skills and problem solving skills     Good project management skills and familiarity with Agile methodologies    Extremely detail oriented and organized with excellent communication and presentation skills   RoleBack End Developer,Industry TypeBanking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsMySQLWordpressDebuggingJavascriptPerformance testingAgileHTMLTroubleshootingInformation technologySQL","['MySQL', 'Wordpress', 'Debugging', 'Javascript', 'Performance testing', 'Agile', 'HTML', 'Troubleshooting', 'Information technology', 'SQL']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeBanking,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
 Leading provider of simplified RFID integrated solutions. Our applications are designed to optimize business process by streamlining and automating recurring tasks. We pride ourselves in understanding customer requirements and the ability to develop specific solutions that can generate an expeditious ROI for our clients. ,"RoleSoftware Developer in Test (SDET),","₹ 4,75,000 - 9,50,000 P.A. ",3 - 5 years,Bangalore/Bengaluru,"Job description Job descriptionStrong understanding of object-oriented programmingFamiliar with various design and architectural patternsKnowledge in basic engineering concepts like Data Structure and Algorithms.Proficiency in C#, SQL, MVC, .Net and ASP.NET, .Net Core and ASP.Net Core, REST Full, web APIs Web forms, WCF, REST, Entity Framework.Knowledge of front-end languages (HTML, CSS, JavaScript, jQuery) and Angular framework.Strong knowledge in MS SQL server databaseWriting clean, readable, and easily maintainable codeUnderstanding of fundamental design principles for building a scalable applicationRoleSoftware Developer in Test (SDET),Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryQuality Assurance and TestingEducationUG :Any GraduatePG :Any PostgraduateDoctorate :Any DoctorateKey SkillsWeb Developmentc#CSSWeb ApiAspnet Web ServicesFull Stack Application DevelopmentAsp.Net Web ApiHTMLfull stack web developerAngularWpf Applicationsweb developerASP.NetAsp.Net CoreBootstrapMVCAngular Web DevelopmentMs Sql DatabaseSkills highlighted with ‘‘ are preferred keyskills","['Web Development', 'c#', 'CSS', 'Web Api', 'Aspnet Web Services', 'Full Stack Application Development', 'Asp.Net Web Api', 'HTML', 'full stack web developer', 'Angular', 'Wpf Applications', 'web developer', 'ASP.Net', 'Asp.Net Core', 'Bootstrap', 'MVC', 'Angular Web Development', 'Ms Sql Database']","['UG :Any Graduate', 'PG :Any Postgraduate', 'Doctorate :Any Doctorate']","Industry TypeSoftware Product,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategoryQuality Assurance and Testing
"Vymo is a personal assistant app for enterprise sales / service teams. It predicts what a rep / manager should do next, detects whether this has happened and links this to downstream metrics to drive better predictions. Vymo has helped some of the worlds largest enterprise field teams get almost 2X productivity uplift; resulting in 30-50% higher sales within 3 months of launch.","RoleDigital Marketing - Other,",Not Disclosed,4 - 5 years,Bangalore/Bengaluru,"Job description       Primary Responsibilities       Directly conducts or manages all website development and programming in Wordpress   Integrates Wordpress based content pages with third party integration, e.g., Facebook, LinkedIn   Ensures website uptime, functionality and security   Manages vendors including hosting providers, contractors, and translation service   Works with vendors to ensure functionality, monitor links/issues, ensure forms are always working   Addresses bugs/performance issues with websites to maintain functionality   Manages all site programming and administration for Wordpress based content pages   Keeps website current at all times   Plans for future website enhancements / upgrades / functionality e.g. assess and implement automation tools   Conducts marketing automation activities, focusing on turning web traffic and responses from marketing activities into revenue   Programming website tracking, generating emails, constructing forms   Integrating marketing automation tools with corporate CRM   Recommending new tools and processes to enhance marketing productivity   Documenting existing processes and implementing improvements to enhance marketing productivity   Collaborate closely with marketing team colleagues to implement marketing best practices:   Creates/modifies settings and appearances of website as needed   Examines and analyzes site traffic (statistics, trends, insights, evaluations, etc)   Assists marketing in modifying and improving online customer acquisition   Drives improved SEO   Helps with website tracking, generating HTML emails, and constructing forms   Documents existing processes and implementing improvements to enhance marketing productivity   Keep senior management informed by:   Advises Manager of any current or foreseen issues   Provides marketing reports on an as-needed basis   Automates metrics and reporting processes   Identify and fix all the technical issues in the Google Search Console assist marketing team in technical seo.   Knowledge of Marketing automation tools like Hubspot, Mailchimp, Google analytics, Google Tag manager and Zapier is a plus.    Proficient in HTML/CSS, and client-side scripting libraries.   RoleDigital Marketing - Other,Industry TypeIT Services & Consulting,Functional AreaMarketing & Communication,Employment TypeFull Time, PermanentRole CategoryDigital MarketingEducationUG :Any GraduatePG :Any PostgraduateKey SkillsCustomer acquisitionGoogle AnalyticsmanagementWordpressAutomation toolsProgrammingHTMLSEOCRMmarketing automation","['Customer acquisition', 'Google Analytics', 'management', 'Wordpress', 'Automation tools', 'Programming', 'HTML', 'SEO', 'CRM', 'marketing automation']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaMarketing & Communication,","Employment TypeFull Time, Permanent",Role CategoryDigital Marketing
"Axcend is a CSIA certified organization operating in the Industrial Automation, Manufacturing IT, DIgital Manufacturing and IIOT space. For past 18+ years, we have been partnering with major customers globally, adding significant value in the delivery of projects across various industry verticals - successfully executed 400+ projects in Food & Beverages, Consumer Packaged Goods, Automotive, Pharma & Utilities (Energy, Gas & Water) with operational presence in Bangalore, Pune & US.","RoleBack End Developer,",Not Disclosed,6 - 11 years,Bangalore/Bengaluru,"Job description  This is an opportunity to work onsite at our customer s location at Schneider-Electric, Bangalore.    Professional experience of 6+ years in development of front applications by using latest web technologies and web APIs and 3+ years experience Angular web platform.  Technical Skill Set:    Strong experience of in HTML5, CSS and LESS, Java script (js) , Type script (ts), REST API, RDMS, XML, JSON and different parsing libraries, HTTP and HTTPS communications   Experience on Security and Secure Design Practices   Experience on OS like Windows Server or Linux   RoleBack End Developer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsCSSPDFWeb technologiesLinuxhtml5XMLJavascriptHTTPJSONWindows","['CSS', 'PDF', 'Web technologies', 'Linux', 'html5', 'XML', 'Javascript', 'HTTP', 'JSON', 'Windows']","['UG :Any Graduate', 'PG :Post Graduation Not Required']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
"ITC Infotech is a leading global technology services and solutions provider, led by Business and Technology Consulting. ITC Infotech provides business-friendly solutions to help clients succeed and be future-ready, by seamlessly bringing together digital expertise, strong industry specific alliances and the unique ability to leverage deep domain expertise from ITC Group businesses. The company provides technology solutions and services to enterprises across industries such as Banking & Financial Services, Healthcare, Manufacturing, Consumer Goods, Travel and Hospitality, through a combination of traditional and newer business models, as a long-term sustainable partner.","RoleSoftware Development - Other,",Not Disclosed,3 - 6 years,Bangalore/Bengaluru,"Job description Java scripting,   Service Now Service Catalog  SNOW integration to 3rd party tools ( REST, SOAP )  Work flow design  Flow Designer RoleSoftware Development - Other,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsJavaWeb technologiesWorkflowservice catalogSOAP","['Java', 'Web technologies', 'Workflow', 'service catalog', 'SOAP']","['UG :Any Graduate', 'PG :Any Postgraduate']","Industry TypeIT Services & Consulting,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
US MNC,"RoleFull Stack Developer,","₹ 50,00,000 - 90,00,000 P.A. ",6 - 11 years,Bangalore/Bengaluru,"Job descriptionBuild robust Javascript-driven web applications Leverage different tools and strategies to help identify opportunities for site optimization Update and maintain backend codebases for our content management systems Work closely with product and program management to help prioritize items in the development roadmap Articulate technical requirements, write functional specs and set standards for site performance Perform collaboration duties such as code reviews and technical documentation for peers. A minimum of 5 years of hands-on Javascript development experience (backend NodeJS & frontend) Hands-on experience with site optimization including SEO, in-page performance, technical audits, and Core Web Vitals Expert Linux command line experience Expert knowledge integrating API endpoints Expert knowledge of Git repository workflows using CLI Outstanding communication skills to interact with technology partners, and to provide consistent technical feedback with other developers You are currently in web development with a focus and expertise on Javascript - both backend and frontend You are proficient in industry tools involving site performance, SEO and analytics You have a deep understanding of core Javascript disciplines You have a knack for finding solutions to problems - and using a full arsenal of debugging tools You have built your own custom tools to help you automate tasks You have experience with at least another backend programming language (e.g. Python, PHP) You never stop learning about web technology; never stopping at what you know, and always keeping up with the latest in all aspects of site development, performance and optimizationRoleFull Stack Developer,Industry TypeInternet,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersKey SkillsCLILinuxAPIJavascriptPHPNode.JsPythonWeb Applications DeveloperSkills highlighted with ‘‘ are preferred keyskills","['CLI', 'Linux', 'API', 'Javascript', 'PHP', 'Node.Js', 'Python', 'Web Applications Developer']",['UG :B.Tech/B.E. in Computers'],"Industry TypeInternet,","Functional AreaEngineering - Software & QA,","Employment TypeFull Time, Permanent",Role CategorySoftware Development
